"","Dimension","Value","total_time_out_nest","total_time_in_nest"
"1","1","Residuals","-7.64886485546198","7.64886485546199"
"2","1","p values","0*","0*"
"3","2","Residuals","-17.1612574006947","17.1612574006947"
"4","2","p values","0*","0*"
"5","3","Residuals","4.2880241953655","-4.28802419536549"
"6","3","p values","4e-04*","4e-04*"
"7","4","Residuals","7.03011979155887","-7.03011979155887"
"8","4","p values","0*","0*"
"9","5","Residuals","4.8368098370381","-4.83680983703809"
"10","5","p values","0*","0*"
"11","6","Residuals","7.9404035456266","-7.94040354562664"
"12","6","p values","0*","0*"
"13","7","Residuals","-1.94873660881575","1.94873660881573"
"14","7","p values","1","1"
"15","8","Residuals","4.92115386997379","-4.92115386997375"
"16","8","p values","0*","0*"
"17","9","Residuals","-1.1625561447336","1.16255614473361"
"18","9","p values","1","1"
"19","10","Residuals","5.1959386117919","-5.1959386117919"
"20","10","p values","0*","0*"
